"","GEOID","NAME","variable","estimate","moe"
"90","17019010204","Census Tract 102.04, Champaign County, Illinois","B08014_002",154,150
"91","17019010300","Census Tract 103, Champaign County, Illinois","B08014_002",13,19
"92","17019010400","Census Tract 104, Champaign County, Illinois","B08014_002",40,22
"93","17019010500","Census Tract 105, Champaign County, Illinois","B08014_002",12,14
"94","17019010601","Census Tract 106.01, Champaign County, Illinois","B08014_002",0,15
"95","17019010603","Census Tract 106.03, Champaign County, Illinois","B08014_002",60,43
"96","17019010604","Census Tract 106.04, Champaign County, Illinois","B08014_002",9,13
"97","17019010700","Census Tract 107, Champaign County, Illinois","B08014_002",0,15
"98","17019010800","Census Tract 108, Champaign County, Illinois","B08014_002",9,9
"99","17019010900","Census Tract 109, Champaign County, Illinois","B08014_002",32,21
"100","17019011000","Census Tract 110, Champaign County, Illinois","B08014_002",237,112
"101","17019011100","Census Tract 111, Champaign County, Illinois","B08014_002",279,104
"102","17021958100","Census Tract 9581, Christian County, Illinois","B08014_002",19,17
